# Не определяемые выражения для форм выпуска препаратов в модели nlp пакета spacy-ru.
# Разделитель " | "
# Структура:
#   Первое значение - оригинал выражения, не редактируемое, справочно.
#   Второе значение - очищенная копия оригинала выражения, не редактируемое, справочно.
#   Третье значение - regex pattern для очищенной копии выражения (Второе значение), значение редактируемое.
#   Четвертое значение - заменитель, значение редактируемое.
# 
# 12/11/2023, 14:47:05
Капсили | капсили | .*капсили.* | Капсулы
Капсули | капсули | .*капсули.* | Капсулы
Капсули м'як. | капсули мяк | .*капсули мяк.* | Капсулы мягкие
Капсули м’які. | капсули мяки | .*капсули мяки.* | Капсулы мягкие
Капсули. | капсули | .*капсули.* | Капсулы
Краплі | крапли | .*крапли.* | Капли
Лосьйон | лосьйон | .*лосьйон.* | Лосьон
Льодяники | льодяники | .*льодяники.* | леденцы
Розчин | розчин | .*розчин.* | Раствор
Розчин д/зовн.заст. | розчин дзовн заст | .*розчин дзовн заст.* | Раствор для внешнего использования
Суміш регідратаційна | сумиш регидратацийна | .*сумиш регидратацийна.* | Смесь регидратационная
Супозиторії | супозитории | .*супозитории.* | Свечи ректальные
Супозиторії рект. | супозитории рект | .*супозитории рект.* | Свечи ректальные
Супозиторії ректальні. | супозитории ректальни | .*супозитории ректальни.* | Свечи ректальные
Супозиторії. | супозитории | .*супозитории.* | Свечи ректальные
Суппозитории | суппозитории | .*суппозитории.* | Свечи ректальные
#Капсули з модифікованим вивільненням. | капсули з модификованим вивильненням | .*капсули з модификованим вивильненням.* | Капсулы модифицированные
# 21/11/2023, 14:13:52
Аерозоль дозований. | аерозоль дозований | .*аерозоль дозований.* | Аэрозоль дозированный
Аерозоль. | аерозоль | .*аерозоль.* | Аэрозоль
Гранули гомеопатичні. | гранули гомеопатични | .*гранули гомеопатични.* | Гранулы гомеопатические
Гранули дозовані. | гранули дозовани | .*гранули дозовани.* | Гранулы дозированные
Гранули. | гранули | .*гранули.* | Гранулы
Гранулят. | гранулят | .*гранулят.* | Гранулы
Гірчичник-пакет. | гирчичникпакет | .*гирчичникпакет.* | Горчичный пакет
Екстракт оральний. | екстракт оральний | .*екстракт оральний.* | Экстракт оральный
Екстракт рідкий. | екстракт ридкий | .*екстракт ридкий.* | Экстракт разреженный
Емульсія нашкірна. | емульсия нашкирна | .*емульсия нашкирна.* | Эмульсия накожная
Емульсія очна. | емульсия очна | .*емульсия очна.* | Эмульсия
Емульсія. | емульсия | .*емульсия.* | Эмульсия
Збір. | збир | .*збир.* | Сбор
Каплети, вкриті оболонкою. | каплети вкрити оболонкою | .*каплети вкрити оболонкою.* | 'Не определено в оболочке
Кореневища. | кореневища | .*кореневища.* | Корневище
Кільце вагінальне. | кильце вагинальне | .*кильце вагинальне.* | Кольцо вагинальное
Листя. | листя | .*листя.* | Листья
Лінімент. | линимент | .*линимент.* | Не определено
Песарії. | песарии | .*песарии.* | Не определено
Пластир нашкірний. | пластир нашкирний | .*пластир нашкирний.* | Пластырь накожный
Пластир трансдермальний. | пластир трансдермальний | .*пластир трансдермальний.* | Пластырь трансдермальный
Плоди. | плоди | .*плоди.* | Плоды
Рідина нашкірна. | ридина нашкирна | .*ридина нашкирна.* | Жидкость накожная
Рідина оральна. | ридина оральна | .*ридина оральна.* | Жидкость оральная
Слані. | слани | .*слани.* | Не определено
Трансдермальний пластир. | трансдермальний пластир | .*трансдермальний пластир.* | Пластырь трансдермальный
